Product Name,Short Description,Long Description,Keywords,Image File Path
JBL NC þráðlaus barnaheyrnartól,"Safe Volume, Great Sound: JBL Junior 470NC headphones offer noise-cancelling, kid-friendly design, and volume protection up to 85dB.","Introducing the JBL Junior 470NC wireless noise-cancelling over-ear headphones, designed to deliver exceptional JBL Sound while ensuring the safety of young listeners. Engineered specifically for children, these headphones limit volume to a safe 85dB, protecting sensitive ears. The Active Noise Cancelling feature ensures that external noise won't tempt kids to increase the volume, providing a safer listening experience in any environment.

Parents can take control with the JBL Headphones app, allowing customization of maximum volume and listening duration, alongside receiving daily or weekly reports on their child's listening habits. This functionality aids in fostering healthy listening practices from an early age.

Constructed with comfort and durability in mind, the JBL Junior 470NC features oversized, easy-to-use controls perfect for little hands. With a robust battery life of up to 50 hours, these headphones promise hours of uninterrupted fun. Moreover, the built-in microphone enables seamless communication with family, friends, and teachers.

To add a touch of personal flair, a set of JBL stickers is included, enabling kids to personalize their headphones to match their style. The JBL Junior 470NC ensures that great sound and child-friendly design go hand-in-hand, making them the ideal choice for young music enthusiasts.","jbl headphones, noise-cancelling, kids headphones, safe volume, wireless headphones, personalized headphones, long battery life, built-in mic, jbl junior 470nc",output/JBL_NC_þráðlaus_barnaheyrnartól.html
Sandisk Ultra Dual Drive Go USB Type-C 64GB,"Transfer files effortlessly with the SanDisk Ultra Dual Drive Go USB Type-C. Compatible with most devices, offering 64GB storage and a swivel design.","The SanDisk Ultra Dual Drive Go USB Type-C is the perfect solution for anyone looking to manage their data storage effortlessly. This versatile 2-in-1 flash drive features a reversible USB Type-C connector and a traditional USB Type-A connector, ensuring seamless compatibility with a wide array of devices such as smartphones, tablets, and computers. With a generous storage capacity of 64GB, you can easily store and transfer your favorite photos, videos, music, and documents without worrying about space constraints.

Designed with convenience in mind, the drive boasts a compact swivel design that protects the connectors when not in use. This feature not only enhances durability but also ensures that the connectors are safe from damage. Additionally, the integrated keyring hole provides an easy way to carry the drive with you wherever you go, so you're always ready to save or share your files.

Whether you need to back up important files or share content with friends and colleagues, the SanDisk Ultra Dual Drive Go USB Type-C offers a reliable and efficient data storage solution. Experience the ease of quickly freeing up space on your smartphone or transferring files between devices with this innovative flash drive. It’s the ideal companion for anyone who values both functionality and convenience in their digital life.","sandisk, usb type-c, dual drive, 64gb storage, data transfer, smartphone, tablet, computer, file sharing, swivel design",output/Sandisk_Ultra_Dual_Drive_Go_USB_Type-C_64GB.html
LG 65 QNED UHD Smart sjónvarp,"Enhance your home entertainment with the LG 65QNED85A6C 65-inch 4K QNED MiniLED TV, offering vibrant colors and gaming features.","The LG 65QNED85A6C 65-inch 4K QNED evo TV is the ultimate choice for those seeking a superior home entertainment experience. This television features a 4K QNED MiniLED display, which provides stunningly vibrant colors and deep contrasts, ensuring every scene is rendered with breathtaking clarity. At the heart of the LG 65QNED85A6C is the α8 AI Processor 4K Gen2, which intelligently optimizes both picture and sound quality to deliver an immersive viewing experience tailored to the content you love.

This TV is equipped with advanced support for Dolby Vision, HDR10, and HLG, offering a cinematic experience right in your living room. For gaming enthusiasts, the LG 65QNED85A6C offers FreeSync compatibility and a 120Hz refresh rate, ensuring smooth and responsive gameplay that meets the demands of the most intense gaming sessions.

The ultra-slim design of the LG 65QNED85A6C makes it an elegant addition to any living space, complementing modern interiors with its sleek lines. Whether you're watching your favorite films, indulging in a gaming marathon, or enjoying live sports, this TV is designed to elevate your viewing experience to new heights. Upgrade your home entertainment setup with the LG 65QNED85A6C and transform the way you enjoy digital content.","lg tv, 65-inch 4k tv, qned miniled, α8 ai processor, dolby vision, gaming tv, freesync, 120hz refresh rate, home entertainment",output/LG_65_QNED_UHD_Smart_sjónvarp.html
Lenco Ferða DVD 9 MP3,"Portable 9-inch DVD Player: Enjoy movies, music, and photos on-the-go with Lenco DVP-901BK. Ideal for travel with versatile playback.","The Lenco DVP-901BK is your ideal travel companion for entertainment on-the-go, combining portability with versatile functionality. This compact 9-inch DVD player is perfect for road trips, flights, or any travel scenario where you crave multimedia entertainment. Featuring a 9-inch TFT display with a 16:9 aspect ratio, it delivers vibrant and clear visual content, enhancing your viewing experience whether you're watching movies or browsing photos.

A standout feature of this device is its 180-degree swivel screen, which provides flexible viewing angles for your maximum comfort. The Lenco DVP-901BK supports a variety of media formats, including DVDs, CDs, and file types such as MPEG1, MPEG2, MPEG4, MP3, and JPEG, ensuring you can enjoy a wide range of content without compatibility issues.

For audio, the built-in stereo speakers offer quality sound, but if you prefer a more private experience, the 3.5 mm headphone jack accommodates that need. The player is powered by a rechargeable lithium-ion battery, allowing for extended cordless use. Additionally, with the included car power adapter, it's perfectly suited for long road trips, keeping you and your passengers entertained.

The package also includes a remote control and mounting brackets, making it easy to install in vehicles and simple to operate. With its user-friendly design and comprehensive features, the Lenco DVP-901BK DVD player promises an enjoyable multimedia experience wherever you are.","portable dvd player, 9-inch screen, travel entertainment, lenco dvp-901bk, multimedia player, swivel screen, rechargeable battery, car adapter, remote control, versatile playback.",output/Lenco_Ferða_DVD_9_MP3.html
Vogels Útdraganleg og hallanleg veggfesting fyrir 32 - 65 Sjónvarp,"Enhance your TV viewing with Vogel's COMFORT Full-Motion TV wall mount, offering smooth One-Finger™ movement and advanced TiltAnchor™ technology.","Elevate your home entertainment experience with Vogel's COMFORT Full-Motion TV wall mount, designed for safety, style, and unparalleled viewing comfort. This robust wall mount is perfect for families, accommodating TVs from 32 to 65 inches and supporting up to 25 kg. Its full-motion capabilities allow you to swivel the mount up to 120° and tilt it by 20°, ensuring you achieve the ideal viewing angle with ease.

The innovative One-Finger™ Movement feature makes adjusting your TV's position smooth and effortless, thanks to its special bearings that guarantee light and fluid motion. For added security, the TiltAnchor™ system ensures your TV remains securely tilted and fixed in place. Installation is straightforward with the included drilling template, screws, Fischer® DuoPower plugs, cable tie, and spirit level. Vogel's also offers the DrillRight app to help easily mark the first drill hole, as well as a Quick Installation Guide, a detailed manual, and an installation video for your convenience.

Rest assured knowing that each COMFORT Full-Motion TV wall mount is TÜV certified and rigorously tested to support three times its maximum weight capacity. This durability is backed by a 10-year guarantee, reflecting Vogel's commitment to quality and safety. With an environmental impact of 12 kg CO₂ equivalent, Vogel's continues to innovate, ensuring their products not only meet your needs but also consider the planet. Choose the COMFORT Full-Motion TV wall mount for a reliable and stylish addition to your living space.","tv wall mount, full-motion, one-finger™ movement, tiltanchor™ system, vogel's, easy installation, safety, viewing comfort",output/Vogels_Útdraganleg_og_hallanleg_veggfesting_fyrir_32_-_65_Sjónvarp.html
Le Creuset Steypujárnspottur 26cm Djúpur,Le Creuset Cast Iron Pot: Perfect for Slow Cooking and Oven Use,"Discover the excellence of the Le Creuset Cast Iron Pot, crafted from high-quality cast iron to ensure superior cooking performance. This meticulously hand-made pot is designed for even heat distribution, enhancing your cooking results by maintaining consistent temperatures. Ideal for slow cooking, it retains moisture exceptionally well, allowing you to create flavorful and tender dishes with ease. The pot is versatile, functioning seamlessly on all types of stovetops, including induction. Its robust three-layer enamel coating not only ensures durability but also makes it safe for use in the oven and on the grill. With a generous capacity of 5.3 liters and a 26 cm diameter, this Matte Black pot is perfect for family meals or entertaining guests. Proudly made in France, each piece undergoes stringent inspection by specialized professionals to guarantee exceptional quality. Offering a lifetime warranty of 30 years, this pot is a reliable investment for your kitchen. Experience the combination of tradition and innovation with Le Creuset, enhancing your culinary creations with professional-grade cookware.","le creuset, cast iron pot, slow cooking, oven safe, induction compatible, hand-made, french cookware, lifetime warranty, enamel coating",output/Le_Creuset_Steypujárnspottur_26cm_Djúpur.html
Alligator safnbox fyrir chopper,"Effortlessly organize your kitchen with the Alligator Collector, a durable accessory for clean and efficient food preparation.","Enhance your kitchen experience with the Alligator Collector, the perfect companion to your Alligator Chopper. This practical accessory is expertly crafted to seamlessly collect chopped fruits and vegetables, ensuring that your workspace remains tidy and organized. Made from robust, food-safe materials, the Collector guarantees a safe and easy transfer of your chopped ingredients straight to your cooking vessel. Its transparent design not only adds a modern touch but also allows you to monitor the quantity of chopped items, helping you manage your cooking process efficiently. Convenience is further emphasized by its dishwasher-safe feature, ensuring a hassle-free cleaning experience. Ideal for those who appreciate both functionality and style in their culinary tools, the Alligator Collector is a must-have for every kitchen. Whether you're preparing a fresh salad or a hearty stew, this accessory will streamline your food preparation, ensuring that you spend less time cleaning and more time enjoying delicious meals with family and friends.","alligator collector, kitchen accessory, food preparation, durable, dishwasher safe",output/Alligator_safnbox_fyrir_chopper.html
Belid Veggljós úti Max svart,"Illuminate your home exterior with the Belid Veggljós Max, a sleek black outdoor wall light offering elegance and functionality.","The Belid Veggljós úti Max in black is the ideal solution for those looking to enhance their home's exterior with style and efficiency. This modern outdoor wall light is expertly crafted with high-quality materials, ensuring durability and long-lasting performance, even in Iceland's diverse weather conditions. Its sleek design not only offers aesthetic appeal but also provides practical illumination, casting a warm and inviting glow that enhances the ambiance of any outdoor space. The elegant black finish of the Belid Veggljós Max adds a sophisticated touch to contemporary settings, making it a versatile addition to patios, gardens, or entryways. Whether you aim to highlight architectural features or provide safe passage along walkways, this wall light combines functionality with modern design, offering an inviting atmosphere for you and your guests.","outdoor wall light, modern design, black finish, home exterior, belid veggljós max",output/Belid_Veggljós_úti_Max_svart.html
JBL Partybox 520 ferðahátalari,"Experience unparalleled sound with JBL PartyBox 520. AI Sound Boost, lightshow, and 15-hour playtime keep your party alive.","Elevate your party experience with the JBL PartyBox 520, a powerhouse speaker designed to deliver electrifying sound and visual effects. Featuring the innovative AI Sound Boost technology, this speaker analyzes your music in real-time to optimize acoustic performance, ensuring crystal-clear audio with minimal distortion. Whether you're hosting a large gathering or a cozy get-together, the JBL PartyBox 520 guarantees that every song feels like a live performance.

Dance the night away with the integrated futuristic lightshow, complete with dynamic glowing light patterns and strobe effects that transform any event into an unforgettable experience. With up to 15 hours of playtime on a single charge, your party can go on without interruption. For even longer celebrations, simply swap out the replaceable battery or enjoy an additional 2 hours with just a 10-minute charge.

Expand your soundscape with the Auracast™ multi-speaker connection. Pair two PartyBox 520s for stereo sound or connect multiple JBL Auracast™-enabled speakers wirelessly to scale your music with your growing party size. Manage your music, EQ settings, and lightshow effortlessly using the JBL PartyBox app, giving you complete control over your party ambiance.

Designed for convenience, the JBL PartyBox 520 is equipped with a telescopic handle and wide sturdy wheels, making it easy to transport wherever your party takes you. Its IPX4 splash-proof rating ensures that spills and splashes won't dampen your spirits. Connect seamlessly to your favorite streaming or karaoke app via USB-C, and bring live talent into the mix with two XLR inputs for microphones, guitars, or DJ consoles.

Incorporating eco-friendly materials, the JBL PartyBox 520 is made from post-consumer recycled plastic and comes in FSC-certified paper packaging printed with soy ink, making it a sustainable choice for environmentally conscious partygoers.","jbl partybox 520, ai sound boost, lightshow, 15-hour playtime, auracast, splash-proof, high-quality audio, eco-friendly",output/JBL_Partybox_520_ferðahátalari.html
Aqara Pro Öryggismyndavél með brú Grá (Ethernet),"Enhance home security with the Aqara G5 Pro camera featuring AI analysis, Zigbee hub, and 4MP resolution for indoor and outdoor use.","The Aqara G5 Pro is a top-tier security camera designed to seamlessly integrate into your smart home while providing exceptional protection for your property. This versatile camera is suitable for both indoor and outdoor installations, ensuring comprehensive coverage with its wide 133° field of view and superior 4MP resolution (2688x1520). Engineered to deliver unmatched image quality, the G5 Pro utilizes advanced night vision with True Full-Color technology, allowing it to capture vivid color images even in low-light environments, enhancing your surveillance capabilities around the clock.

One of the standout features of the Aqara G5 Pro is its smart home integration capabilities. Equipped with a built-in Zigbee hub, Matter Controller, and Thread Border Router, it effortlessly connects with popular ecosystems like HomeKit Secure Video, Google Home, and Amazon Alexa, offering you flexible control and access to your security system. The camera's PoE version ensures robust end-to-end encryption, safeguarding your data against unauthorized access.

Moreover, the Aqara G5 Pro is designed to withstand harsh weather conditions, operating effectively in temperatures ranging from -30°C to 50°C. Its built-in 32GB eMMC storage allows for reliable local storage, while also supporting connections to NAS boxes and RTSP streaming for broader storage and accessibility options. Whether you’re upgrading your security system or integrating with an existing setup, the Aqara G5 Pro is the ideal choice for a smart, secure, and connected home.","security camera, smart home, ai analysis, zigbee hub, 4mp resolution, night vision, homekit, google home, alexa, poe",output/Aqara_Pro_Öryggismyndavél_með_brú_Grá_(Ethernet).html
